parameter,wValue,wIndex,wLength,Data Fragment (min),Data Fragment (max)
MIC1_48V,0000,3a00,4,00000000,01000000
MIC2_48V,0001,3a00,4,00000000,01000000
MIC3_48V,0002,3a00,4,00000000,01000000
MIC4_48V,0003,3a00,4,00000000,01000000
MIC1_GAIN,0100,3a00,4,00000000,00ffffff
MIC2_GAIN,0101,3a00,4,00000000,00ffffff
MIC3_GAIN,0102,3a00,4,00000000,00ffffff
MIC4_GAIN,0103,3a00,4,00000000,00ffffff
OUT12_VOLUME,0000,3b00,4,00000000,00ffffff
OUT34_VOLUME,0002,3b00,4,00000000,00ffffff
OUT1_MIC1_VOLUME,0100,3c00,2,0080,efff
OUT2_MIC1_VOLUME,0101,3c00,2,0080,efff
OUT3_MIC1_VOLUME,0102,3c00,2,0080,efff
OUT4_MIC1_VOLUME,0103,3c00,2,0080,efff
OUT1_MIC2_VOLUME,0104,3c00,2,0080,efff
OUT2_MIC2_VOLUME,0105,3c00,2,0080,efff
OUT3_MIC2_VOLUME,0106,3c00,2,0080,efff
OUT4_MIC2_VOLUME,0107,3c00,2,0080,efff
OUT1_MIC3_VOLUME,0108,3c00,2,0080,efff
OUT2_MIC3_VOLUME,0109,3c00,2,0080,efff
OUT3_MIC3_VOLUME,010a,3c00,2,0080,efff
OUT4_MIC3_VOLUME,010b,3c00,2,0080,efff
OUT1_MIC4_VOLUME,010c,3c00,2,0080,efff
OUT2_MIC4_VOLUME,010d,3c00,2,0080,efff
OUT3_MIC4_VOLUME,010e,3c00,2,0080,efff
OUT4_MIC4_VOLUME,010f,3c00,2,0080,efff
OUT1_DAW1_VOLUME,0110,3c00,2,0080,f1ff
OUT2_DAW1_VOLUME,0111,3c00,2,0080,f1ff
OUT3_DAW1_VOLUME,0112,3c00,2,0080,f1fd
OUT4_DAW1_VOLUME,0113,3c00,2,0080,f1fd
OUT1_DAW2_VOLUME,0114,3c00,2,0080,cdfb
OUT2_DAW2_VOLUME,0115,3c00,2,0080,cdfb
OUT3_DAW2_VOLUME,0116,3c00,2,0000,cdfd
OUT4_DAW2_VOLUME,0117,3c00,2,0000,cdfd
OUT1_DAW3_VOLUME,0118,3c00,2,0080,f1ff
OUT2_DAW3_VOLUME,0119,3c00,2,0080,f1ff
OUT3_DAW3_VOLUME,011a,3c00,2,0080,f1fd
OUT4_DAW3_VOLUME,011b,3c00,2,0080,f1fd
OUT1_DAW4_VOLUME,011c,3c00,2,0080,f1ff
OUT2_DAW4_VOLUME,011d,3c00,2,0080,f1ff
OUT3_DAW4_VOLUME,011e,3c00,2,0080,f1fe
OUT4_DAW4_VOLUME,011f,3c00,2,0080,f1fe
OUT1_LB1_VOLUME,0120,3c00,2,0000,cdfd
OUT2_LB1_VOLUME,0121,3c00,2,0000,cdfd
OUT3_LB1_VOLUME,0122,3c00,2,0080,cdfc
OUT4_LB1_VOLUME,0123,3c00,2,0080,cdfc
OUT1_LB2_VOLUME,0124,3c00,2,0080,efff
OUT2_LB2_VOLUME,0125,3c00,2,0080,efff
OUT3_LB2_VOLUME,0126,3c00,2,0080,efff
OUT4_LB2_VOLUME,0127,3c00,2,0080,efff
